date,open,high,low,close,volume,barCount,average
20210205  10:00:00,53.5,64.8,53.5,60.23,1570,689,58.495
20210205  10:15:00,60.26,62.25,58.26,58.6,370,198,60.317
20210205  10:30:00,58.31,60.89,56.5,60.6,429,232,58.224
20210205  10:45:00,60.94,61.35,59.75,60.87,287,140,60.472
20210205  11:00:00,60.87,62.6,59.9,59.97,303,133,61.249
20210205  11:15:00,60.77,61.23,60.23,60.67,136,71,60.522
20210205  11:30:00,60.87,61.69,60.87,61.3,104,46,61.156
20210205  11:45:00,61.0,61.7,59.0,59.33,162,81,60.341
20210205  12:00:00,59.52,59.52,57.25,58.24,176,92,58.366
20210205  12:15:00,58.36,58.63,57.26,57.3,44,30,57.97
20210205  12:30:00,57.3,59.04,57.11,58.95,68,35,57.733
20210205  12:45:00,58.72,59.3,58.72,58.75,38,27,58.872
20210205  13:00:00,58.0,58.13,54.56,57.11,2661,1197,56.314
20210205  13:15:00,57.24,57.32,54.7,56.4,895,394,55.89
20210205  13:30:00,56.24,57.59,55.51,56.78,867,412,56.79
20210205  13:45:00,56.76,59.2,56.0,59.09,1193,527,57.913
20210205  14:00:00,59.09,59.99,54.56,58.8,4752,1370,57.788
20210205  14:15:00,58.8,59.5,57.62,57.8,1618,637,58.67
20210205  14:30:00,57.7,58.3,57.3,57.81,1221,424,57.821
20210205  14:45:00,57.77,58.17,56.25,57.16,1900,695,57.249
20210205  15:00:00,57.2,57.6,55.25,55.83,2458,910,56.283
20210205  15:15:00,56.0,56.8,53.5,54.29,2322,832,55.33
20210205  15:30:00,54.04,61.88,51.09,60.64,54852,20989,55.371
20210205  15:45:00,60.93,82.77,60.0,82.77,82405,36331,69.077
20210205  16:00:00,82.77,95.0,72.37,78.0,62804,27297,82.483
20210205  16:15:00,78.0,79.46,65.37,70.9,67590,29886,70.915
20210205  16:30:00,70.9,76.8,68.2,70.99,42273,19020,73.055
20210205  16:45:00,70.97,72.8,67.12,70.82,20023,8339,70.19
20210205  17:00:00,70.82,74.45,69.26,73.06,19749,7531,72.367
20210205  17:15:00,73.19,73.85,68.28,69.34,14196,5234,70.731
20210205  17:30:00,69.7,69.7,61.54,62.66,31658,11533,65.03
20210205  17:45:00,62.66,66.8,62.34,64.39,15367,5638,64.747
20210205  18:00:00,64.29,64.6,58.86,62.07,18128,6536,61.279
20210205  18:15:00,62.1,65.89,61.12,65.88,13012,4242,63.26
20210205  18:30:00,65.66,65.88,62.16,62.58,10782,3534,64.081
20210205  18:45:00,62.76,64.65,62.18,63.55,8478,2618,63.344
20210205  19:00:00,63.74,63.89,62.56,63.16,5411,1802,63.223
20210205  19:15:00,63.17,64.5,62.3,62.52,5755,2162,63.351
20210205  19:30:00,62.39,62.69,58.47,59.1,14328,5054,59.785
20210205  19:45:00,59.08,61.63,57.26,61.0,15563,5181,59.234
20210205  20:00:00,61.0,62.34,58.85,59.89,9441,3420,60.992
20210205  20:15:00,60.04,61.73,59.51,60.67,5494,1915,60.711
20210205  20:30:00,60.56,62.78,60.24,61.4,10141,3127,61.711
20210205  20:45:00,61.25,62.36,60.5,60.82,4430,1648,61.138
20210205  21:00:00,60.83,63.0,60.5,61.4,8711,3046,62.05
20210205  21:15:00,61.49,62.09,59.0,60.7,6970,2427,60.771
20210205  21:30:00,60.78,62.0,60.7,61.87,7522,2800,61.447
20210205  21:45:00,61.81,66.47,61.73,63.76,27789,10149,64.212
20210205  22:00:00,63.77,65.97,62.0,63.33,2412,913,63.895
20210205  22:15:00,63.34,64.25,63.1,63.55,750,372,63.533
20210205  22:30:00,63.51,66.49,63.25,65.49,1304,543,64.835
20210205  22:45:00,65.49,66.0,64.5,64.87,930,382,65.103
20210205  23:00:00,64.68,65.14,64.68,64.98,479,171,65.008
20210205  23:15:00,64.98,65.55,64.53,64.95,486,224,65.007
20210205  23:30:00,64.53,65.67,64.53,65.3,347,142,65.298
20210205  23:45:00,65.3,70.47,65.04,69.51,1870,676,68.135
